,asset_id,lat,lon,Parent Name,asset_type,country,work_intensity,year,median,minimum,maximum,scenario,AC_penetration
14,22_SIEMENS-ENERGY-AG,52.5415015,13.2481148,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
15,23_SIEMENS-ENERGY-AG,48.1753181,16.507534,Siemens Energy AG,INDUSTRIAL,Austria,high,2020,0.05,0.03,0.07,ssp585,0.36000001430511475
16,24_SIEMENS-ENERGY-AG,51.1467461,14.9708557,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.15000000596046448
17,27_SIEMENS-ENERGY-AG,53.1964187,-0.6147615,Siemens Energy AG,INDUSTRIAL,United Kingdom,high,2020,0.0,0.0,0.01,ssp585,0.17000000178813934
18,28_SIEMENS-ENERGY-AG,52.141017,4.512013,Siemens Energy AG,INDUSTRIAL,Netherlands,high,2020,0.0,0.0,0.01,ssp585,0.23000000417232513
19,29_SIEMENS-ENERGY-AG,52.1640033,5.3486921,Siemens Energy AG,INDUSTRIAL,Netherlands,high,2020,0.01,0.01,0.02,ssp585,0.23999999463558197
20,32_SIEMENS-ENERGY-AG,52.3879587,9.7333639,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.15000000596046448
21,36_SIEMENS-ENERGY-AG,52.5351526,13.2644097,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
22,37_SIEMENS-ENERGY-AG,40.5979246,-3.7175093,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.05,0.03,0.05,ssp585,0.5299999713897705
23,38_SIEMENS-ENERGY-AG,29.3624325,47.9809166,Siemens Energy AG,INDUSTRIAL,Kuwait,high,2020,2.45,2.06,2.79,ssp585,0.5600000023841858
24,39_SIEMENS-ENERGY-AG,53.5318221,10.0408471,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.01,0.01,0.02,ssp585,0.11999999731779099
25,40_SIEMENS-ENERGY-AG,51.4379122,6.8789363,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.15000000596046448
26,42_SIEMENS-ENERGY-AG,19.4395915,-99.2019065,Siemens Energy AG,INDUSTRIAL,Mexico,high,2020,0.0,0.0,0.0,ssp585,0.46000000834465027
27,43_SIEMENS-ENERGY-AG,20.5576877,-100.2705723,Siemens Energy AG,INDUSTRIAL,Mexico,high,2020,0.01,0.0,0.01,ssp585,0.550000011920929
28,44_SIEMENS-ENERGY-AG,20.5579704,-100.2641437,Siemens Energy AG,INDUSTRIAL,Mexico,high,2020,0.01,0.0,0.01,ssp585,0.550000011920929
29,45_SIEMENS-ENERGY-AG,20.5574713,-100.2680289,Siemens Energy AG,INDUSTRIAL,Mexico,high,2020,0.01,0.0,0.01,ssp585,0.550000011920929
30,46_SIEMENS-ENERGY-AG,25.6899056,-100.2141223,Siemens Energy AG,INDUSTRIAL,Mexico,high,2020,0.64,0.47,0.82,ssp585,0.6600000262260437
31,47_SIEMENS-ENERGY-AG,19.4305726,-99.1456325,Siemens Energy AG,INDUSTRIAL,Mexico,high,2020,0.0,0.0,0.0,ssp585,0.46000000834465027
